Reference,Description,Initial Assessment Points,Evidence/Artifact,Clause,Findings,Status
LOG-06.1,Use a reliable time source across all relevant information processing systems.,"1. Is a reliable time source being used across all relevant information processing systems?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-07.1,"Establish, document and implement which information meta/data system events should be logged. Review and update the scope at least annually or whenever there is a change in the threat environment.","1. Are logging requirements for information meta/data system events established, documented, and implemented?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-07.2,"Establish, document and implement which information meta/data system events should be logged. Review and update the scope at least annually or whenever there is a change in the threat environment.","1. Is the scope reviewed and updated at least annually, or whenever there is a change in the threat environment?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-08.1,Generate audit records containing relevant security information.,"1. Are audit records generated, and do they contain relevant security information?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-09.1,"The information system protects audit records from unauthorized access, modification, and deletion.","1. Does the information system protect audit records from unauthorized access, modification, and deletion?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-10.1,"Establish and maintain a monitoring and internal reporting capability over the operations of cryptographic, encryption and key management policies, processes, procedures, and controls.","1. Are monitoring and internal reporting capabilities established to report on cryptographic operations, encryption, and key management policies, processes, procedures, and controls?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Logging and
Monitoring",,
LOG-11.1,Log and monitor key lifecycle management events to enable auditing and reporting on usage of cryptographic keys.,"1. Are key lifecycle management events logged and monitored to enable auditing and reporting on cryptographic keys' usage?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Logging and
Monitoring",,
LOG-12.1,Monitor and log physical access using an auditable access control system.,"1. Is physical access logged and monitored using an auditable access control system?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-13.1,"Define, implement and evaluate processes, procedures and technical measures for the reporting of anomalies and failures of the monitoring system and provide immediate notification to the accountable party.","1. Are processes and technical measures for reporting monitoring system anomalies and failures defined, implemented, and evaluated?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
LOG-13.2,"Define, implement and evaluate processes, procedures and technical measures for the reporting of anomalies and failures of the monitoring system and provide immediate notification to the accountable party.","1. Are accountable parties immediately notified about anomalies and failures?
2. Verify logging policy defines scope, time sync, retention, and protection of logs; centralization to SIEM where feasible.
3. Confirm coverage for security-relevant events (auth, admin actions, config changes, data access, network).
4. Check alerting use cases, correlation rules, and monitoring procedures; sampling shows timely triage.
5. Verify log integrity, restricted access, and retention per policy/regulatory requirements.",Logging and monitoring standards; SIEM use cases and dashboards; Log retention configurations; Alert triage/runbook records; Relevant policy/standard document with version history,"Logging and
Monitoring",,
SEF-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Security Incident Management, E-Discovery, and Cloud Forensics. Review and update the policies and procedures at least annually.","1. Are policies and procedures for security incident management, e-discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Security Incident Management, E-Discovery, and Cloud Forensics. Review and update the policies and procedures at least annually.","1. Are policies and procedures reviewed and updated annually?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-02.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the timely management of security incidents. Review and update the policies and procedures at least annually.","1. Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-02.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the timely management of security incidents. Review and update the policies and procedures at least annually.","1. Are policies and procedures for timely management of security incidents reviewed and updated at least annually?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-03.1,"Establish, document, approve, communicate, apply, evaluate and maintain a security incident response plan, which includes but is not limited to: relevant internal departments, impacted CSCs, and other business critical relationships (such as supply-chain) that may be impacted. 59 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business-critical relationships (such as supply-chain) established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-04.1,Test and update as necessary incident response plans at planned intervals or upon significant organizational or environmental changes for effectiveness.,"1. Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-05.1,Establish and monitor information security incident metrics.,"1. Are information security incident metrics established and monitored?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-06.1,"Define, implement and evaluate processes, procedures and technical measures supporting business processes to triage security-related events.","1. Are processes, procedures, and technical measures supporting business processes to triage security-related events defined, implemented, and evaluated?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-07.1,"Define and implement processes, procedures and technical measures for security breach notifications. Report security breaches and assumed security breaches including any relevant supply chain breaches, as per applicable SLAs, laws and regulations. 60 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are processes, procedures, and technical measures for security breach notifications defined and implemented?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-07.2,"Define and implement processes, procedures and technical measures for security breach notifications. Report security breaches and assumed security breaches including any relevant supply chain breaches, as per applicable SLAs, laws and regulations. 60 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are security breaches and assumed security breaches reported (including any relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
SEF-08.1,"Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.","1. Are points of contact maintained for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities?
2. Verify incident response plan (roles, playbooks, severity, comms, evidence handling) is approved and tested.
3. Confirm forensics procedures preserve chain of custody and admissibility; tools and skills are maintained.
4. Check e‑discovery readiness (legal hold, data mapping) and integration with IR processes.
5. Review post‑incident lessons learned and corrective actions tracking.",Relevant policy/standard document with version history,"Security Incident
Management,
E-Discovery, & Cloud
Forensics",,
STA-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization. Review and update the policies and procedures at least annually.","1. Are policies and procedures implementing the shared security responsibility model (SSRM) within the organization established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization. Review and update the policies and procedures at least annually.","1. Are the policies and procedures that apply the SSRM reviewed and updated annually?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-02.1,"Apply, document, implement and manage the SSRM throughout the supply chain for the cloud service offering. 61 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Is the SSRM applied, documented, implemented, and managed throughout the supply chain for the cloud service offering?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-03.1,Provide SSRM Guidance to the CSC detailing information about the SSRM applicability throughout the supply chain.,"1. Is the CSC given SSRM guidance detailing information about SSRM applicability throughout the supply chain?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-04.1,Delineate the shared ownership and applicability of all CSA CCM controls according to the SSRM for the cloud service offering.,"1. Is the shared ownership and applicability of all CSA CCM controls delineated according to the SSRM for the cloud service offering?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-05.1,Review and validate SSRM documentation for all cloud services offerings the organization uses.,"1. Is SSRM documentation for all cloud services the organization uses reviewed and validated?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-06.1,"Implement, operate, and audit or assess the portions of the SSRM which the organization is responsible for. 62 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are the portions of the SSRM the organization is responsible for implemented, operated, audited, or assessed?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-07.1,Develop and maintain an inventory of all supply chain relationships.,"1. Is an inventory of all supply chain relationships developed and maintained?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-08.1,CSPs periodically review risk factors associated with all organizations within their supply chain.,"1. Are risk factors associated with all organizations within the supply chain periodically reviewed by CSPs?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-09.1,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms: • Scope, characteristics and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third party assessment • Service termination • Interoperability and portability requirements • Data privacy","1. Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms? • Scope, characteristics, and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third-party assessment • Service termination • Interoperability and portability requirements • Data privacy
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).","Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan; Vendor risk assessment, contracts/SLAs, and monitoring reports","Supply Chain
Management,
Transparency, &
Accountability",,
STA-10.1,Review supply chain agreements between CSPs and CSCs at least annually.,"1. Are supply chain agreements between CSPs and CSCs reviewed at least annually?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-11.1,"Define and implement a process for conducting internal assessments to confirm conformance and effectiveness of standards, policies, procedures, and service level agreement activities at least annually.","1. Is there a process for conducting internal assessments at least annually to confirm the conformance and effectiveness of standards, policies, procedures, and SLA activities?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-12.1,"Implement policies requiring all CSPs throughout the supply chain to comply with information security, confidentiality, access control, privacy, audit, personnel policy and service level requirements and standards.","1. Are policies that require all supply chain CSPs to comply with information security, confidentiality, access control, privacy, audit, personnel policy, and service level requirements and standards implemented?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-13.1,Periodically review the organization’ s supply chain partners’ IT governance policies and procedures.,"1. Are supply chain partner IT governance policies and procedures reviewed periodically?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
STA-14.1,Define and implement a process for conducting security assessments periodically for all organizations within the supply chain.,"1. Is a process to conduct periodic security assessments for all supply chain organizations defined and implemented?
2. Verify vulnerability management process (scanning cadence, risk-based remediation SLAs) and evidence of closure.
3. Confirm threat intelligence intake, triage, and use in detection/response and patch prioritization.
4. Check penetration testing/red teaming scope, frequency, and remediation tracking.
5. Verify secure configuration monitoring and exposure reduction (e.g., attack surface management).",Security awareness training plan; Attendance/completion records; Phishing simulation results and metrics; Risk assessment report and treatment plan,"Supply Chain
Management,
Transparency, &
Accountability",,
TVM-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to identify, report and prioritize the remediation of vulnerabilities, in order to protect systems against vulnerability exploitation. Review and update the policies and procedures at least annually.","1. Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to identify, report, and prioritize the remediation of vulnerabilities to protect systems against vulnerability exploitation?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to identify, report and prioritize the remediation of vulnerabilities, in order to protect systems against vulnerability exploitation. Review and update the policies and procedures at least annually.","1. Are threat and vulnerability management policies and procedures reviewed and updated at least annually?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-02.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect against malware on managed assets. Review and update the policies and procedures at least annually.","1. Are policies and procedures to protect against malware on managed assets established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-02.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect against malware on managed assets. Review and update the policies and procedures at least annually.","1. Are asset management and malware protection policies and procedures reviewed and updated at least annually?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-03.1,"Define, implement and evaluate processes, procedures and technical measures to enable both scheduled and emergency responses to vulnerability identifications, based on the identified risk.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-04.1,"Define, implement and evaluate processes, procedures and technical measures to update detection tools, threat signatures, and indicators of compromise on a weekly, or more frequent basis.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to update detection tools, threat signatures, and compromise indicators weekly (or more frequent) basis?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-05.1,"Define, implement and evaluate processes, procedures, and technical measures to identify updates for applications which use third-party or open source libraries according to the organization’ s vulnerability management policy.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated to identify updates for applications that use third-party or open-source libraries (according to the organization's vulnerability management policy)?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
TVM-06.1,"Define, implement and evaluate processes, procedures and technical measures for the periodic performance of penetration testing by independent third parties. 66 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are processes, procedures, and technical measures defined, implemented, and evaluated for periodic, independent, third-party penetration testing?
2. Verify threat and vulnerability identification sources (TI feeds, CVE/CVSS), assessment methodology, and risk scoring.
3. Confirm remediation workflows integrate with ticketing; verify metrics on time-to-remediate and exceptions.
4. Check periodic scans and targeted assessments for high‑risk assets; validate authenticated scanning where applicable.",Threat and vulnerability management policy; Threat intel subscriptions/use cases; Remediation tracking dashboard; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Threat & Vulnerability
Management",,
